2019-04-14 01:34:42.81: SIM {TimeUS : 46034912, Roll : 0.12, Pitch : 0.11, Yaw : 359.94, Alt : 33.0099983215, Lat : 49.2835704, Lng : -123.1150207, Q1 : 0.999998748302, Q2 : 0.00108485238161, Q3 : 0.0010270443745, Q4 : -0.000503210758325}
2019-04-14 01:34:42.91: SIM {TimeUS : 46134872, Roll : 0.15, Pitch : 0.09, Yaw : 359.94, Alt : 33.2099990845, Lat : 49.2835704, Lng : -123.1150208, Q1 : 0.999998569489, Q2 : 0.00137960270513, Q3 : 0.000856109429151, Q4 : -0.000482791510876}
2019-04-14 01:34:43.01: SIM {TimeUS : 46234832, Roll : 0.18, Pitch : 0.09, Yaw : 359.94, Alt : 33.4099998474, Lat : 49.2835704, Lng : -123.1150208, Q1 : 0.99999833107, Q2 : 0.00157252920326, Q3 : 0.000853628851473, Q4 : -0.000458398892079}
2019-04-14 01:34:43.11: SIM {TimeUS : 46334792, Roll : 0.19, Pitch : 0.11, Yaw : 359.95, Alt : 33.6199989319, Lat : 49.2835704, Lng : -123.1150208, Q1 : 0.999997973442, Q2 : 0.00168887979817, Q3 : 0.000989055261016, Q4 : -0.000433840497863}
2019-04-14 01:34:43.21: SIM {TimeUS : 46434752, Roll : 0.18, Pitch : 0.12, Yaw : 359.95, Alt : 33.8300018311, Lat : 49.2835704, Lng : -123.1150208, Q1 : 0.999998033047, Q2 : 0.0016367174685, Q3 : 0.00107161572669, Q4 : -0.000417386181653}
2019-04-14 01:34:43.31: SIM {TimeUS : 46534712, Roll : 0.16, Pitch : 0.12, Yaw : 359.95, Alt : 34.0400009155, Lat : 49.2835704, Lng : -123.1150208, Q1 : 0.999998271465, Q2 : 0.00142283958849, Q3 : 0.00111917743925, Q4 : -0.000404490507208}
2019-04-14 01:34:43.41: SIM {TimeUS : 46634672, Roll : 0.12, Pitch : 0.13, Yaw : 359.95, Alt : 34.25, Lat : 49.2835704, Lng : -123.1150208, Q1 : 0.999998569489, Q2 : 0.00113457068801, Q3 : 0.00117543991655, Q4 : -0.000401582976338}
2019-04-14 01:34:43.51: SIM {TimeUS : 46734632, Roll : 0.09, Pitch : 0.13, Yaw : 359.95, Alt : 34.4599990845, Lat : 49.2835704, Lng : -123.1150208, Q1 : 0.999998867512, Q2 : 0.000866087910254, Q3 : 0.00114507274702, Q4 : -0.000407435116358}
2019-04-14 01:34:43.61: SIM {TimeUS : 46834592, Roll : 0.08, Pitch : 0.09, Yaw : 359.94, Alt : 34.6699981689, Lat : 49.2835704, Lng : -123.1150208, Q1 : 0.999999284744, Q2 : 0.000750346167479, Q3 : 0.000808819779195, Q4 : -0.000437734241132}
2019-04-14 01:34:43.71: SIM {TimeUS : 46934552, Roll : 0.08, Pitch : 0.05, Yaw : 359.94, Alt : 34.8899993896, Lat : 49.2835704, Lng : -123.1150208, Q1 : 0.999999523163, Q2 : 0.00073084665928, Q3 : 0.00048215786228, Q4 : -0.000486570963403}
2019-04-14 01:34:43.81: SIM {TimeUS : 47034512, Roll : 0.07, Pitch : 0.03, Yaw : 359.93, Alt : 35.0999984741, Lat : 49.2835704, Lng : -123.1150208, Q1 : 0.999999582767, Q2 : 0.000622120744083, Q3 : 0.000320385792293, Q4 : -0.000540378910955}
2019-04-14 01:34:43.91: SIM {TimeUS : 47135305, Roll : 0.05, Pitch : 0.03, Yaw : 359.93, Alt : 35.3199996948, Lat : 49.2835704, Lng : -123.1150207, Q1 : 0.999999642372, Q2 : 0.00052359822439, Q3 : 0.00027192584821, Q4 : -0.000589878181927}
2019-04-14 01:34:44.01: SIM {TimeUS : 47235265, Roll : 0.05, Pitch : 0.02, Yaw : 359.92, Alt : 35.5400009155, Lat : 49.2835704, Lng : -123.1150207, Q1 : 0.999999642372, Q2 : 0.000497812696267, Q3 : 0.00022742713918, Q4 : -0.000630372262094}
2019-04-14 01:34:44.11: SIM {TimeUS : 47335225, Roll : 0.03, Pitch : 0.0, Yaw : 359.92, Alt : 35.7599983215, Lat : 49.2835704, Lng : -123.1150207, Q1 : 0.999999761581, Q2 : 0.000273109297268, Q3 : 1.72071777342e-05, Q4 : -0.000666217296384}
2019-04-14 01:34:44.21: SIM {TimeUS : 47435185, Roll : 0.0, Pitch : -0.03, Yaw : 359.92, Alt : 35.9799995422, Lat : 49.2835704, Lng : -123.1150207, Q1 : 0.999999701977, Q2 : -4.79804875795e-05, Q3 : -0.000340167578543, Q4 : -0.000694780028425}
2019-04-14 01:34:44.31: SIM {TimeUS : 47535145, Roll : -0.04, Pitch : -0.06, Yaw : 359.91, Alt : 36.2000007629, Lat : 49.2835704, Lng : -123.1150207, Q1 : 0.999999523163, Q2 : -0.000379879376851, Q3 : -0.000557937833946, Q4 : -0.00072735408321}
2019-04-14 01:34:44.41: SIM {TimeUS : 47635105, Roll : -0.07, Pitch : -0.07, Yaw : 359.91, Alt : 36.4199981689, Lat : 49.2835704, Lng : -123.1150207, Q1 : 0.999999284744, Q2 : -0.000648191547953, Q3 : -0.000658150413074, Q4 : -0.00075762817869}
2019-04-14 01:34:44.51: SIM {TimeUS : 47735065, Roll : -0.07, Pitch : -0.07, Yaw : 359.91, Alt : 36.6399993896, Lat : 49.2835704, Lng : -123.1150206, Q1 : 0.999999284744, Q2 : -0.000694340968039, Q3 : -0.000633803079836, Q4 : -0.000779103836976}
2019-04-14 01:34:44.61: SIM {TimeUS : 47835025, Roll : -0.08, Pitch : -0.06, Yaw : 359.9, Alt : 36.8699989319, Lat : 49.2835704, Lng : -123.1150206, Q1 : 0.999999284744, Q2 : -0.000703359837644, Q3 : -0.000590474926867, Q4 : -0.000797994376626}
2019-04-14 01:34:44.71: SIM {TimeUS : 47934985, Roll : -0.07, Pitch : -0.05, Yaw : 359.9, Alt : 37.0900001526, Lat : 49.2835704, Lng : -123.1150206, Q1 : 0.999999344349, Q2 : -0.0006513838307, Q3 : -0.000461824121885, Q4 : -0.000814905331936}
2019-04-14 01:34:44.81: SIM {TimeUS : 48034945, Roll : -0.06, Pitch : -0.04, Yaw : 359.9, Alt : 37.3199996948, Lat : 49.2835704, Lng : -123.1150206, Q1 : 0.999999403954, Q2 : -0.000556435086764, Q3 : -0.000396960182115, Q4 : -0.00082581746392}
2019-04-14 01:34:44.91: SIM {TimeUS : 48134905, Roll : -0.06, Pitch : -0.05, Yaw : 359.9, Alt : 37.5400009155, Lat : 49.2835704, Lng : -123.1150206, Q1 : 0.999999344349, Q2 : -0.000607840542216, Q3 : -0.000460270850454, Q4 : -0.00083351455396}
2019-04-14 01:34:45.01: SIM {TimeUS : 48234865, Roll : -0.07, Pitch : -0.03, Yaw : 359.9, Alt : 37.7700004578, Lat : 49.2835704, Lng : -123.1150206, Q1 : 0.999999344349, Q2 : -0.000693545327522, Q3 : -0.000342863902915, Q4 : -0.000847698363941}
2019-04-14 01:34:45.11: SIM {TimeUS : 48334825, Roll : -0.1, Pitch : -0.01, Yaw : 359.9, Alt : 37.9900016785, Lat : 49.2835704, Lng : -123.1150206, Q1 : 0.99999922514, Q2 : -0.000882347812876, Q3 : -0.000142400851473, Q4 : -0.000862876244355}
2019-04-14 01:34:45.21: SIM {TimeUS : 48434785, Roll : -0.1, Pitch : 0.0, Yaw : 359.9, Alt : 38.2200012207, Lat : 49.2835704, Lng : -123.1150206, Q1 : 0.99999922514, Q2 : -0.000887507805601, Q3 : 2.90968491754e-05, Q4 : -0.000871007097885}
2019-04-14 01:34:45.31: SIM {TimeUS : 48534745, Roll : -0.07, Pitch : 0.03, Yaw : 359.89, Alt : 38.4500007629, Lat : 49.2835704, Lng : -123.1150206, Q1 : 0.999999344349, Q2 : -0.000683081452735, Q3 : 0.00032323441701, Q4 : -0.00087881705258}
2019-04-14 01:34:45.41: SIM {TimeUS : 48634705, Roll : -0.05, Pitch : 0.03, Yaw : 359.89, Alt : 38.6800003052, Lat : 49.2835704, Lng : -123.1150206, Q1 : 0.999999463558, Q2 : -0.000474524480524, Q3 : 0.000294801458949, Q4 : -0.000893121876288}
2019-04-14 01:34:45.51: SIM {TimeUS : 48734665, Roll : -0.02, Pitch : 0.02, Yaw : 359.89, Alt : 38.9099998474, Lat : 49.2835704, Lng : -123.1150206, Q1 : 0.999999582767, Q2 : -0.000221140653593, Q3 : 0.000175776731339, Q4 : -0.000906247296371}
2019-04-14 01:34:45.61: SIM {TimeUS : 48834625, Roll : 0.01, Pitch : 0.03, Yaw : 359.89, Alt : 39.1399993896, Lat : 49.2835704, Lng : -123.1150206, Q1 : 0.999999523163, Q2 : 9.45106294239e-05, Q3 : 0.000270997988991, Q4 : -0.000918323290534}
2019-04-14 01:34:45.71: SIM {TimeUS : 48934585, Roll : 0.04, Pitch : 0.05, Yaw : 359.89, Alt : 39.3600006104, Lat : 49.2835704, Lng : -123.1150206, Q1 : 0.999999344349, Q2 : 0.00041850990965, Q3 : 0.000488556397613, Q4 : -0.000937228498515}
2019-04-14 01:34:45.81: SIM {TimeUS : 49034545, Roll : 0.07, Pitch : 0.08, Yaw : 359.88, Alt : 39.5999984741, Lat : 49.2835704, Lng : -123.1150206, Q1 : 0.999999046326, Q2 : 0.000681784178596, Q3 : 0.000715357309673, Q4 : -0.000962503720075}
2019-04-14 01:34:45.91: SIM {TimeUS : 49134505, Roll : 0.07, Pitch : 0.1, Yaw : 359.88, Alt : 39.8300018311, Lat : 49.2835706, Lng : -123.1150206, Q1 : 0.999998867512, Q2 : 0.000620902690571, Q3 : 0.000924285384826, Q4 : -0.000986895873211}
2019-04-14 01:34:46.01: SIM {TimeUS : 49235298, Roll : 0.02, Pitch : 0.12, Yaw : 359.88, Alt : 40.0600013733, Lat : 49.2835706, Lng : -123.1150206, Q1 : 0.999998807907, Q2 : 0.000223662267672, Q3 : 0.00110867817421, Q4 : -0.00103030307218}
2019-04-14 01:34:46.11: SIM {TimeUS : 49335258, Roll : -0.01, Pitch : 0.11, Yaw : 359.87, Alt : 40.2900009155, Lat : 49.2835706, Lng : -123.1150206, Q1 : 0.999998927116, Q2 : -9.3719601864e-05, Q3 : 0.0010470362613, Q4 : -0.00106287875678}
2019-04-14 01:34:46.21: SIM {TimeUS : 49435218, Roll : -0.03, Pitch : 0.09, Yaw : 359.87, Alt : 40.5200004578, Lat : 49.2835706, Lng : -123.1150206, Q1 : 0.999999046326, Q2 : -0.000323369895341, Q3 : 0.000813316029962, Q4 : -0.00109473138582}
2019-04-14 01:34:46.31: SIM {TimeUS : 49535178, Roll : -0.05, Pitch : 0.07, Yaw : 359.87, Alt : 40.75, Lat : 49.2835706, Lng : -123.1150206, Q1 : 0.999999046326, Q2 : -0.00045048337779, Q3 : 0.000654663483147, Q4 : -0.00112876354251}
2019-04-14 01:34:46.41: SIM {TimeUS : 49635138, Roll : -0.04, Pitch : 0.08, Yaw : 359.86, Alt : 40.9900016785, Lat : 49.2835706, Lng : -123.1150206, Q1 : 0.999998986721, Q2 : -0.000380449433578, Q3 : 0.000754315056838, Q4 : -0.00116328219883}
2019-04-14 01:34:46.51: SIM {TimeUS : 49735098, Roll : 0.0, Pitch : 0.11, Yaw : 359.86, Alt : 41.2200012207, Lat : 49.2835706, Lng : -123.1150206, Q1 : 0.999998748302, Q2 : -2.25417443289e-05, Q3 : 0.00104347721208, Q4 : -0.00119190162513}
2019-04-14 01:34:46.61: SIM {TimeUS : 49835058, Roll : 0.04, Pitch : 0.14, Yaw : 359.86, Alt : 41.4500007629, Lat : 49.2835706, Lng : -123.1150207, Q1 : 0.999998390675, Q2 : 0.000407265819376, Q3 : 0.00124619924463, Q4 : -0.00122155831195}
2019-04-14 01:34:46.71: SIM {TimeUS : 49935018, Roll : 0.08, Pitch : 0.12, Yaw : 359.85, Alt : 41.6899986267, Lat : 49.2835706, Lng : -123.1150207, Q1 : 0.999998390675, Q2 : 0.000710068037733, Q3 : 0.00104645534884, Q4 : -0.00125273771118}
2019-04-14 01:34:46.81: SIM {TimeUS : 50034978, Roll : 0.08, Pitch : 0.07, Yaw : 359.85, Alt : 41.9199981689, Lat : 49.2835706, Lng : -123.1150207, Q1 : 0.999998688698, Q2 : 0.000737360387575, Q3 : 0.000647606968414, Q4 : -0.00128265412059}
2019-04-14 01:34:46.91: SIM {TimeUS : 50134938, Roll : 0.05, Pitch : 0.04, Yaw : 359.85, Alt : 42.1500015259, Lat : 49.2835706, Lng : -123.1150207, Q1 : 0.999998986721, Q2 : 0.000455251778476, Q3 : 0.000350553134922, Q4 : -0.00130743649788}
2019-04-14 01:34:47.01: SIM {TimeUS : 50234898, Roll : 0.0, Pitch : 0.03, Yaw : 359.84, Alt : 42.3899993896, Lat : 49.2835706, Lng : -123.1150207, Q1 : 0.99999910593, Q2 : 1.02982594399e-05, Q3 : 0.000265234790277, Q4 : -0.00132243777625}
2019-04-14 01:34:47.11: SIM {TimeUS : 50334858, Roll : -0.03, Pitch : 0.05, Yaw : 359.84, Alt : 42.6199989319, Lat : 49.2835706, Lng : -123.1150206, Q1 : 0.999998927116, Q2 : -0.000320557795931, Q3 : 0.000498420267832, Q4 : -0.00132414931431}
2019-04-14 01:34:47.21: SIM {TimeUS : 50434818, Roll : -0.05, Pitch : 0.07, Yaw : 359.84, Alt : 42.8600006104, Lat : 49.2835704, Lng : -123.1150206, Q1 : 0.999998748302, Q2 : -0.000499851477798, Q3 : 0.000696792907547, Q4 : -0.00132116943132}
