2019-04-14 16:15:14.31: SIM {TimeUS : 48534745, Roll : -0.06, Pitch : 0.05, Yaw : 359.85, Alt : 40.3600006104, Lat : 49.2835704, Lng : -123.1150207, Q1 : 0.999998986721, Q2 : -0.000524197530467, Q3 : 0.000457332556834, Q4 : -0.00122552004177}
2019-04-14 16:15:14.41: SIM {TimeUS : 48634705, Roll : -0.04, Pitch : 0.06, Yaw : 359.85, Alt : 40.5900001526, Lat : 49.2835704, Lng : -123.1150207, Q1 : 0.999999046326, Q2 : -0.000377793272492, Q3 : 0.000535196333658, Q4 : -0.00124916154891}
2019-04-14 16:15:14.51: SIM {TimeUS : 48734665, Roll : 0.0, Pitch : 0.06, Yaw : 359.85, Alt : 40.8199996948, Lat : 49.2835704, Lng : -123.1150207, Q1 : 0.999999046326, Q2 : -7.55993460189e-05, Q3 : 0.000542307330761, Q4 : -0.00126226083376}
2019-04-14 16:15:14.61: SIM {TimeUS : 48834625, Roll : 0.03, Pitch : 0.07, Yaw : 359.85, Alt : 41.0499992371, Lat : 49.2835706, Lng : -123.1150207, Q1 : 0.999998927116, Q2 : 0.000293138291454, Q3 : 0.000676124356687, Q4 : -0.00127010513097}
2019-04-14 16:15:14.71: SIM {TimeUS : 48934585, Roll : 0.09, Pitch : 0.1, Yaw : 359.85, Alt : 41.2900009155, Lat : 49.2835706, Lng : -123.1150207, Q1 : 0.999998450279, Q2 : 0.000787216704339, Q3 : 0.00091175083071, Q4 : -0.00127849553246}
2019-04-14 16:15:14.81: SIM {TimeUS : 49034545, Roll : 0.12, Pitch : 0.13, Yaw : 359.85, Alt : 41.5200004578, Lat : 49.2835706, Lng : -123.1150207, Q1 : 0.999997913837, Q2 : 0.00108177552465, Q3 : 0.00113759795204, Q4 : -0.00129084021319}
2019-04-14 16:15:14.91: SIM {TimeUS : 49134505, Roll : 0.1, Pitch : 0.14, Yaw : 359.85, Alt : 41.75, Lat : 49.2835706, Lng : -123.1150207, Q1 : 0.999997913837, Q2 : 0.000957394368015, Q3 : 0.00128544971813, Q4 : -0.0012978122104}
2019-04-14 16:15:15.01: SIM {TimeUS : 49234465, Roll : 0.05, Pitch : 0.15, Yaw : 359.84, Alt : 41.9900016785, Lat : 49.2835706, Lng : -123.1150207, Q1 : 0.999998092651, Q2 : 0.000493619241752, Q3 : 0.0013607009314, Q4 : -0.00131191604305}
2019-04-14 16:15:15.11: SIM {TimeUS : 49334425, Roll : 0.0, Pitch : 0.15, Yaw : 359.84, Alt : 42.2200012207, Lat : 49.2835706, Lng : -123.1150207, Q1 : 0.999998211861, Q2 : 2.26093252422e-05, Q3 : 0.00136375625152, Q4 : -0.00133248884231}
2019-04-14 16:15:15.21: SIM {TimeUS : 49434385, Roll : -0.02, Pitch : 0.13, Yaw : 359.84, Alt : 42.4599990845, Lat : 49.2835706, Lng : -123.1150207, Q1 : 0.999998390675, Q2 : -0.000207686491194, Q3 : 0.00115261401515, Q4 : -0.00135288678575}
