2019-04-03 21:31:30.80: SIM {TimeUS : 195815809, Roll : -0.18, Pitch : -0.16, Yaw : 352.88, Alt : 589.739990234, Lat : -35.3632605, Lng : 149.1652293, Q1 : 0.998068630695, Q2 : -0.00171321176458, Q3 : -0.00133517477661, Q4 : -0.0620836056769}
2019-04-03 21:31:30.90: SIM {TimeUS : 195915769, Roll : -0.19, Pitch : -0.18, Yaw : 352.87, Alt : 589.960021973, Lat : -35.3632605, Lng : 149.1652293, Q1 : 0.998062849045, Q2 : -0.00180656462908, Q3 : -0.00149668415543, Q4 : -0.062170278281}
2019-04-03 21:31:31.00: SIM {TimeUS : 196015729, Roll : -0.2, Pitch : -0.24, Yaw : 352.86, Alt : 590.179992676, Lat : -35.3632605, Lng : 149.1652293, Q1 : 0.99805611372, Q2 : -0.00192172278184, Q3 : -0.00204269960523, Q4 : -0.0622583888471}
2019-04-03 21:31:31.10: SIM {TimeUS : 196115689, Roll : -0.21, Pitch : -0.28, Yaw : 352.85, Alt : 590.400024414, Lat : -35.3632605, Lng : 149.1652293, Q1 : 0.998050153255, Q2 : -0.00201576668769, Q3 : -0.00236321124248, Q4 : -0.0623405054212}
2019-04-03 21:31:31.20: SIM {TimeUS : 196216482, Roll : -0.23, Pitch : -0.31, Yaw : 352.84, Alt : 590.619995117, Lat : -35.3632605, Lng : 149.1652292, Q1 : 0.998044490814, Q2 : -0.00221921293996, Q3 : -0.0025867591612, Q4 : -0.0624145492911}
2019-04-03 21:31:31.30: SIM {TimeUS : 196316442, Roll : -0.24, Pitch : -0.31, Yaw : 352.83, Alt : 590.849975586, Lat : -35.3632605, Lng : 149.1652292, Q1 : 0.998039782047, Q2 : -0.00229975860566, Q3 : -0.0026414541062, Q4 : -0.0624852627516}
2019-04-03 21:31:31.40: SIM {TimeUS : 196416402, Roll : -0.28, Pitch : -0.35, Yaw : 352.82, Alt : 591.070007324, Lat : -35.3632604, Lng : 149.1652292, Q1 : 0.998033821583, Q2 : -0.00264315633103, Q3 : -0.00289593846537, Q4 : -0.0625552609563}
2019-04-03 21:31:31.50: SIM {TimeUS : 196516362, Roll : -0.32, Pitch : -0.36, Yaw : 352.82, Alt : 591.280029297, Lat : -35.3632604, Lng : 149.1652291, Q1 : 0.998028337955, Q2 : -0.00305998907425, Q3 : -0.00298457499593, Q4 : -0.0626192986965}
2019-04-03 21:31:31.60: SIM {TimeUS : 196616322, Roll : -0.34, Pitch : -0.34, Yaw : 352.81, Alt : 591.489990234, Lat : -35.3632604, Lng : 149.1652291, Q1 : 0.998024702072, Q2 : -0.00322089204565, Q3 : -0.00282999523915, Q4 : -0.0626762509346}
2019-04-03 21:31:31.70: SIM {TimeUS : 196716282, Roll : -0.31, Pitch : -0.28, Yaw : 352.8, Alt : 591.690002441, Lat : -35.3632604, Lng : 149.1652289, Q1 : 0.998023748398, Q2 : -0.00290746474639, Q3 : -0.00233423826285, Q4 : -0.0627272874117}
2019-04-03 21:31:31.80: SIM {TimeUS : 196816242, Roll : -0.28, Pitch : -0.22, Yaw : 352.8, Alt : 591.880004883, Lat : -35.3632604, Lng : 149.1652289, Q1 : 0.998022675514, Q2 : -0.00257104611956, Q3 : -0.00176258548163, Q4 : -0.0627774149179}
2019-04-03 21:31:31.90: SIM {TimeUS : 196916202, Roll : -0.22, Pitch : -0.13, Yaw : 352.79, Alt : 592.059997559, Lat : -35.3632604, Lng : 149.1652289, Q1 : 0.998021841049, Q2 : -0.00204508611932, Q3 : -0.00104524812195, Q4 : -0.0628264173865}
2019-04-03 21:31:32.00: SIM {TimeUS : 197016162, Roll : -0.15, Pitch : -0.05, Yaw : 352.79, Alt : 592.229980469, Lat : -35.3632604, Lng : 149.1652289, Q1 : 0.998020291328, Q2 : -0.00135429855436, Q3 : -0.000408991967561, Q4 : -0.062877677381}
2019-04-03 21:31:32.10: SIM {TimeUS : 197116122, Roll : -0.05, Pitch : -0.03, Yaw : 352.78, Alt : 592.380004883, Lat : -35.3632603, Lng : 149.1652288, Q1 : 0.998017311096, Q2 : -0.000527683179826, Q3 : -0.000298006925732, Q4 : -0.0629379600286}
2019-04-03 21:31:32.20: SIM {TimeUS : 197216082, Roll : 0.02, Pitch : -0.21, Yaw : 352.77, Alt : 592.530029297, Lat : -35.3632603, Lng : 149.1652288, Q1 : 0.998011648655, Q2 : 9.17675351957e-05, Q3 : -0.00190814607777, Q4 : -0.0630012974143}
2019-04-03 21:31:32.30: SIM {TimeUS : 197316042, Roll : 0.09, Pitch : -0.68, Yaw : 352.76, Alt : 592.659973145, Lat : -35.3632603, Lng : 149.1652287, Q1 : 0.997990965843, Q2 : 0.00049054127885, Q3 : -0.00605725357309, Q4 : -0.0630646646023}
