2019-04-03 20:07:57.09: SIM {TimeUS : 122715894, Roll : -1.63, Pitch : 8.27, Yaw : 352.92, Alt : 586.369995117, Lat : -35.3632631, Lng : 149.1652294, Q1 : 0.995450735092, Q2 : -0.00976877845824, Q3 : 0.0729129910469, Q4 : -0.060548234731}
2019-04-03 20:07:57.19: SIM {TimeUS : 122815854, Roll : -1.73, Pitch : 8.44, Yaw : 352.93, Alt : 586.429992676, Lat : -35.3632637, Lng : 149.1652293, Q1 : 0.995341718197, Q2 : -0.0105059100315, Q3 : 0.0744297578931, Q4 : -0.0603715516627}
2019-04-03 20:07:57.29: SIM {TimeUS : 122915814, Roll : -1.8, Pitch : 8.53, Yaw : 352.93, Alt : 586.489990234, Lat : -35.3632644, Lng : 149.1652293, Q1 : 0.995281040668, Q2 : -0.0110545307398, Q3 : 0.075270280242, Q4 : -0.0602320507169}
2019-04-03 20:07:57.39: SIM {TimeUS : 123015774, Roll : -1.85, Pitch : 8.59, Yaw : 352.94, Alt : 586.549987793, Lat : -35.3632653, Lng : 149.1652292, Q1 : 0.995242536068, Q2 : -0.0115041201934, Q3 : 0.0757898911834, Q4 : -0.0601321458817}
2019-04-03 20:07:57.49: SIM {TimeUS : 123115734, Roll : -1.87, Pitch : 8.69, Yaw : 352.94, Alt : 586.599975586, Lat : -35.3632662, Lng : 149.1652291, Q1 : 0.995178699493, Q2 : -0.0116490861401, Q3 : 0.0766232088208, Q4 : -0.0601042062044}
2019-04-03 20:07:57.59: SIM {TimeUS : 123215694, Roll : -1.7, Pitch : 8.9, Yaw : 352.8, Alt : 586.650024414, Lat : -35.3632671, Lng : 149.1652289, Q1 : 0.994979143143, Q2 : -0.0099514843896, Q3 : 0.0784319639206, Q4 : -0.0613669939339}
2019-04-03 20:07:57.70: SIM {TimeUS : 123316487, Roll : -1.31, Pitch : 9.29, Yaw : 351.98, Alt : 586.700012207, Lat : -35.3632682, Lng : 149.1652289, Q1 : 0.994274795055, Q2 : -0.00576318847016, Q3 : 0.0816161856055, Q4 : -0.0687258765101}
2019-04-03 20:07:57.80: SIM {TimeUS : 123416447, Roll : -1.02, Pitch : 9.78, Yaw : 349.78, Alt : 586.739990234, Lat : -35.3632693, Lng : 149.1652288, Q1 : 0.992428600788, Q2 : -0.0012633780716, Q3 : 0.0857193693519, Q4 : -0.0879552364349}
2019-04-03 20:07:57.90: SIM {TimeUS : 123516407, Roll : -1.24, Pitch : 10.22, Yaw : 345.9, Alt : 586.789978027, Lat : -35.3632706, Lng : 149.1652287, Q1 : 0.988551616669, Q2 : 0.000180457049282, Q3 : 0.0897747576237, Q4 : -0.121269010007}
2019-04-03 20:07:58.00: SIM {TimeUS : 123616367, Roll : -2.15, Pitch : 10.43, Yaw : 340.45, Alt : 586.840026855, Lat : -35.3632718, Lng : 149.1652286, Q1 : 0.981519758701, Q2 : -0.0030479922425, Q3 : 0.0928254425526, Q4 : -0.167311549187}
2019-04-03 20:07:58.10: SIM {TimeUS : 123716327, Roll : -3.68, Pitch : 10.26, Yaw : 333.73, Alt : 586.890014648, Lat : -35.3632732, Lng : 149.1652286, Q1 : 0.970099687576, Q2 : -0.0108502255753, Q3 : 0.094363860786, Q4 : -0.223347917199}
2019-04-03 20:07:58.20: SIM {TimeUS : 123816287, Roll : -5.62, Pitch : 9.61, Yaw : 326.09, Alt : 586.940002441, Lat : -35.3632747, Lng : 149.1652286, Q1 : 0.953233063221, Q2 : -0.0223145056516, Q3 : 0.0943535640836, Q4 : -0.286262392998}
