2019-04-03 20:23:41.90: SIM {TimeUS : 170915773, Roll : -5.79, Pitch : -1.27, Yaw : 352.97, Alt : 586.960021973, Lat : -35.3632608, Lng : 149.1652286, Q1 : 0.996745049953, Q2 : -0.0511616878211, Q3 : -0.00800814479589, Q4 : -0.0617876015604}
2019-04-03 20:23:42.00: SIM {TimeUS : 171015733, Roll : -6.11, Pitch : -1.42, Yaw : 352.97, Alt : 587.010009766, Lat : -35.3632607, Lng : 149.1652282, Q1 : 0.996579110622, Q2 : -0.0540276803076, Q3 : -0.00912575609982, Q4 : -0.0618700943887}
2019-04-03 20:23:42.10: SIM {TimeUS : 171115693, Roll : -6.44, Pitch : -1.57, Yaw : 352.97, Alt : 587.059997559, Lat : -35.3632607, Lng : 149.1652277, Q1 : 0.996398448944, Q2 : -0.0569620132446, Q3 : -0.0102622052655, Q4 : -0.0619694553316}
2019-04-03 20:23:42.20: SIM {TimeUS : 171216486, Roll : -6.81, Pitch : -1.71, Yaw : 352.96, Alt : 587.099975586, Lat : -35.3632607, Lng : 149.165227, Q1 : 0.996184945107, Q2 : -0.0602675527334, Q3 : -0.0112829329446, Q4 : -0.0620966628194}
2019-04-03 20:23:42.30: SIM {TimeUS : 171316446, Roll : -7.2, Pitch : -1.82, Yaw : 352.96, Alt : 587.130004883, Lat : -35.3632605, Lng : 149.1652264, Q1 : 0.995955944061, Q2 : -0.0636521428823, Q3 : -0.012043569237, Q4 : -0.0622501336038}
2019-04-03 20:23:42.40: SIM {TimeUS : 171416406, Roll : -7.57, Pitch : -1.93, Yaw : 352.95, Alt : 587.159973145, Lat : -35.3632604, Lng : 149.1652255, Q1 : 0.995720207691, Q2 : -0.0669477283955, Q3 : -0.0127895390615, Q4 : -0.0624154210091}
2019-04-03 20:23:42.50: SIM {TimeUS : 171516366, Roll : -7.89, Pitch : -2.03, Yaw : 352.94, Alt : 587.179992676, Lat : -35.3632604, Lng : 149.1652246, Q1 : 0.995506703854, Q2 : -0.0697708278894, Q3 : -0.0134649761021, Q4 : -0.0625874996185}
2019-04-03 20:23:42.60: SIM {TimeUS : 171616326, Roll : -8.13, Pitch : -2.12, Yaw : 352.93, Alt : 587.210021973, Lat : -35.3632604, Lng : 149.1652238, Q1 : 0.995333135128, Q2 : -0.0719314217567, Q3 : -0.0141255808994, Q4 : -0.0627560317516}
2019-04-03 20:23:42.70: SIM {TimeUS : 171716286, Roll : -8.3, Pitch : -2.19, Yaw : 352.92, Alt : 587.229980469, Lat : -35.3632603, Lng : 149.1652226, Q1 : 0.995203912258, Q2 : -0.0734598189592, Q3 : -0.0146222664043, Q4 : -0.0629214048386}
2019-04-03 20:23:42.80: SIM {TimeUS : 171816246, Roll : -8.42, Pitch : -2.25, Yaw : 352.91, Alt : 587.25, Lat : -35.3632601, Lng : 149.1652216, Q1 : 0.995110332966, Q2 : -0.0745112299919, Q3 : -0.0150267016143, Q4 : -0.0630695074797}
