2019-09-29 18:28:32.69: SIM {TimeUS : 45328528, Roll : 0.12, Pitch : 0.0, Yaw : 170.06, Alt : 90.0800018311, Lat : 69.7758387, Lng : 19.5489304, Q1 : 0.0866036489606, Q2 : 0.000174393455382, Q3 : 0.00107552623376, Q4 : 0.996242284775}
2019-09-29 18:28:32.79: SIM {TimeUS : 45428488, Roll : 0.2, Pitch : 0.08, Yaw : 170.05, Alt : 90.2900009155, Lat : 69.7758387, Lng : 19.5489305, Q1 : 0.0866598784924, Q2 : -0.000553157005925, Q3 : 0.00186125352047, Q4 : 0.996236085892}
2019-09-29 18:28:32.89: SIM {TimeUS : 45528448, Roll : 0.25, Pitch : 0.16, Yaw : 170.05, Alt : 90.5, Lat : 69.7758387, Lng : 19.5489305, Q1 : 0.086707919836, Q2 : -0.00126137619372, Q3 : 0.00235886801966, Q4 : 0.996230185032}
2019-09-29 18:28:32.99: SIM {TimeUS : 45628408, Roll : 0.25, Pitch : 0.21, Yaw : 170.04, Alt : 90.7200012207, Lat : 69.7758387, Lng : 19.5489305, Q1 : 0.0867426916957, Q2 : -0.00170813989826, Q3 : 0.00235913670622, Q4 : 0.996226489544}
2019-09-29 18:28:33.09: SIM {TimeUS : 45728368, Roll : 0.21, Pitch : 0.21, Yaw : 170.04, Alt : 90.9300003052, Lat : 69.7758386, Lng : 19.5489305, Q1 : 0.0867780745029, Q2 : -0.00174532772508, Q3 : 0.00200035702437, Q4 : 0.996224105358}
2019-09-29 18:28:33.19: SIM {TimeUS : 45828328, Roll : 0.15, Pitch : 0.17, Yaw : 170.04, Alt : 91.1399993896, Lat : 69.7758386, Lng : 19.5489305, Q1 : 0.0867990329862, Q2 : -0.0014203164028, Q3 : 0.00144114845898, Q4 : 0.996223807335}
2019-09-29 18:28:33.29: SIM {TimeUS : 45928288, Roll : 0.1, Pitch : 0.1, Yaw : 170.04, Alt : 91.3600006104, Lat : 69.7758386, Lng : 19.5489305, Q1 : 0.0868073180318, Q2 : -0.000843097281177, Q3 : 0.000999683747068, Q4 : 0.996224284172}
2019-09-29 18:28:33.39: SIM {TimeUS : 46028248, Roll : 0.07, Pitch : 0.02, Yaw : 170.04, Alt : 91.5800018311, Lat : 69.7758386, Lng : 19.5489305, Q1 : 0.0868001356721, Q2 : -0.000153855478857, Q3 : 0.000640916870907, Q4 : 0.99622553587}
2019-09-29 18:28:33.49: SIM {TimeUS : 46128208, Roll : 0.06, Pitch : -0.02, Yaw : 170.04, Alt : 91.7900009155, Lat : 69.7758386, Lng : 19.5489305, Q1 : 0.0867826789618, Q2 : 0.000291284552077, Q3 : 0.000508022960275, Q4 : 0.99622708559}
2019-09-29 18:28:33.59: SIM {TimeUS : 46228168, Roll : 0.07, Pitch : -0.03, Yaw : 170.04, Alt : 92.0100021362, Lat : 69.7758386, Lng : 19.5489305, Q1 : 0.0867474153638, Q2 : 0.000331796851242, Q3 : 0.000644285755698, Q4 : 0.996230125427}
2019-09-29 18:28:33.70: SIM {TimeUS : 46328961, Roll : 0.08, Pitch : -0.02, Yaw : 170.05, Alt : 92.2300033569, Lat : 69.7758386, Lng : 19.5489305, Q1 : 0.0867000818253, Q2 : 0.000262730900431, Q3 : 0.000731876119971, Q4 : 0.996234178543}
2019-09-29 18:28:33.80: SIM {TimeUS : 46428921, Roll : 0.06, Pitch : -0.02, Yaw : 170.05, Alt : 92.4499969482, Lat : 69.7758386, Lng : 19.5489305, Q1 : 0.0866474509239, Q2 : 0.000236586056417, Q3 : 0.000558873056434, Q4 : 0.99623888731}
2019-09-29 18:28:33.90: SIM {TimeUS : 46528881, Roll : 0.03, Pitch : -0.03, Yaw : 170.06, Alt : 92.6699981689, Lat : 69.7758386, Lng : 19.5489305, Q1 : 0.0866026878357, Q2 : 0.00030517578125, Q3 : 0.00027144694468, Q4 : 0.996242880821}
2019-09-29 18:28:34.00: SIM {TimeUS : 46628841, Roll : 0.02, Pitch : -0.04, Yaw : 170.06, Alt : 92.8899993896, Lat : 69.7758386, Lng : 19.5489305, Q1 : 0.0865749046206, Q2 : 0.000446127320174, Q3 : 0.000200437440071, Q4 : 0.996245265007}
