2019-04-14 18:35:58.31: SIM {TimeUS : 44735432, Roll : -0.12, Pitch : -0.11, Yaw : 359.94, Alt : 31.3899993896, Lat : 49.2835702, Lng : -123.1150203, Q1 : 0.999998748302, Q2 : -0.00111510895658, Q3 : -0.00101261946838, Q4 : -0.000522873888258}
2019-04-14 18:35:58.41: SIM {TimeUS : 44835392, Roll : 0.0, Pitch : 0.0, Yaw : 359.93, Alt : 31.5599994659, Lat : 49.2835702, Lng : -123.1150204, Q1 : 0.999999821186, Q2 : 2.34171529883e-05, Q3 : 4.43067619926e-06, Q4 : -0.000554180238396}
2019-04-14 18:35:58.51: SIM {TimeUS : 44935352, Roll : 0.07, Pitch : 0.05, Yaw : 359.93, Alt : 31.7299995422, Lat : 49.2835703, Lng : -123.1150205, Q1 : 0.999999582767, Q2 : 0.00061883678427, Q3 : 0.000437792914454, Q4 : -0.000570736010559}
2019-04-14 18:35:58.61: SIM {TimeUS : 45035312, Roll : 0.09, Pitch : 0.05, Yaw : 359.93, Alt : 31.9200000763, Lat : 49.2835703, Lng : -123.1150205, Q1 : 0.999999344349, Q2 : 0.000856579863466, Q3 : 0.000471420673421, Q4 : -0.000572984106839}
2019-04-14 18:35:58.71: SIM {TimeUS : 45135272, Roll : 0.1, Pitch : 0.03, Yaw : 359.93, Alt : 32.0999984741, Lat : 49.2835703, Lng : -123.1150206, Q1 : 0.999999344349, Q2 : 0.000912204268388, Q3 : 0.000343180290656, Q4 : -0.000557830091566}
2019-04-14 18:35:58.81: SIM {TimeUS : 45235232, Roll : 0.09, Pitch : 0.03, Yaw : 359.93, Alt : 32.2900009155, Lat : 49.2835703, Lng : -123.1150207, Q1 : 0.999999463558, Q2 : 0.000858768587932, Q3 : 0.000306369911414, Q4 : -0.000532319885679}
2019-04-14 18:35:58.91: SIM {TimeUS : 45335192, Roll : 0.08, Pitch : 0.05, Yaw : 359.94, Alt : 32.4799995422, Lat : 49.2835703, Lng : -123.1150207, Q1 : 0.999999463558, Q2 : 0.000739884155337, Q3 : 0.000494905689266, Q4 : -0.00049195747124}
2019-04-14 18:35:59.01: SIM {TimeUS : 45435152, Roll : 0.06, Pitch : 0.08, Yaw : 359.94, Alt : 32.6800003052, Lat : 49.2835703, Lng : -123.1150207, Q1 : 0.999999463558, Q2 : 0.000588028458878, Q3 : 0.000742199656088, Q4 : -0.000455506611615}
2019-04-14 18:35:59.11: SIM {TimeUS : 45535112, Roll : 0.08, Pitch : 0.13, Yaw : 359.95, Alt : 32.8800010681, Lat : 49.2835704, Lng : -123.1150208, Q1 : 0.999998927116, Q2 : 0.000741085852496, Q3 : 0.00116219988558, Q4 : -0.000434897257946}
2019-04-14 18:35:59.21: SIM {TimeUS : 45635072, Roll : 0.12, Pitch : 0.17, Yaw : 359.95, Alt : 33.0800018311, Lat : 49.2835704, Lng : -123.1150208, Q1 : 0.999998092651, Q2 : 0.0011104864534, Q3 : 0.00152997719124, Q4 : -0.000426591781434}
2019-04-14 18:35:59.31: SIM {TimeUS : 45735032, Roll : 0.15, Pitch : 0.19, Yaw : 359.95, Alt : 33.2799987793, Lat : 49.2835704, Lng : -123.1150208, Q1 : 0.99999755621, Q2 : 0.00134517415427, Q3 : 0.00171989225782, Q4 : -0.000437919778051}
2019-04-14 18:35:59.41: SIM {TimeUS : 45834992, Roll : 0.16, Pitch : 0.21, Yaw : 359.94, Alt : 33.4900016785, Lat : 49.2835704, Lng : -123.1150208, Q1 : 0.999997138977, Q2 : 0.00144111074042, Q3 : 0.00187339028344, Q4 : -0.000456225185189}
2019-04-14 18:35:59.51: SIM {TimeUS : 45934952, Roll : 0.16, Pitch : 0.19, Yaw : 359.94, Alt : 33.6899986267, Lat : 49.2835704, Lng : -123.1150209, Q1 : 0.999997437, Q2 : 0.00143794284668, Q3 : 0.0016616176581, Q4 : -0.000494936830364}
2019-04-14 18:35:59.61: SIM {TimeUS : 46034912, Roll : 0.15, Pitch : 0.14, Yaw : 359.93, Alt : 33.9000015259, Lat : 49.2835704, Lng : -123.1150209, Q1 : 0.999998092651, Q2 : 0.00135156186298, Q3 : 0.00129112938885, Q4 : -0.000534611055627}
2019-04-14 18:35:59.71: SIM {TimeUS : 46134872, Roll : 0.13, Pitch : 0.11, Yaw : 359.93, Alt : 34.1100006104, Lat : 49.2835704, Lng : -123.1150209, Q1 : 0.999998688698, Q2 : 0.00115668319631, Q3 : 0.00100375781767, Q4 : -0.000576604448725}
2019-04-14 18:35:59.81: SIM {TimeUS : 46234832, Roll : 0.11, Pitch : 0.09, Yaw : 359.93, Alt : 34.3199996948, Lat : 49.2835704, Lng : -123.1150209, Q1 : 0.999998986721, Q2 : 0.00103817961644, Q3 : 0.00079513003584, Q4 : -0.000610725546721}
2019-04-14 18:35:59.91: SIM {TimeUS : 46334792, Roll : 0.11, Pitch : 0.08, Yaw : 359.92, Alt : 34.5299987793, Lat : 49.2835704, Lng : -123.1150209, Q1 : 0.999998986721, Q2 : 0.00101817259565, Q3 : 0.000750652397983, Q4 : -0.000640063954052}
2019-04-14 18:36:00.01: SIM {TimeUS : 46434752, Roll : 0.1, Pitch : 0.06, Yaw : 359.92, Alt : 34.75, Lat : 49.2835704, Lng : -123.1150208, Q1 : 0.999999165535, Q2 : 0.000929750618525, Q3 : 0.000600523722824, Q4 : -0.000656602380332}
2019-04-14 18:36:00.11: SIM {TimeUS : 46534712, Roll : 0.08, Pitch : 0.05, Yaw : 359.92, Alt : 34.9599990845, Lat : 49.2835704, Lng : -123.1150208, Q1 : 0.999999344349, Q2 : 0.000774398155045, Q3 : 0.000475628097774, Q4 : -0.000668654451147}
2019-04-14 18:36:00.22: SIM {TimeUS : 46635505, Roll : 0.06, Pitch : 0.05, Yaw : 359.92, Alt : 35.1800003052, Lat : 49.2835704, Lng : -123.1150208, Q1 : 0.999999463558, Q2 : 0.00059249746846, Q3 : 0.000438877992565, Q4 : -0.000680469325744}
